"pop_data.age";"household_id";"hub_id";"community_id";"community2_id"
3;15220;209;24;24
33;14195;819;4;4
54;7886;524;2;2
47;10459;1659;19;11
39;12615;0;1;11
51;14888;788;25;48
38;12047;0;38;20
42;10308;1213;24;7
13;4603;248;40;40
30;626;0;49;49
56;12332;0;45;4
21;2317;444;45;4
23;13469;302;31;41
46;12181;1331;35;49
45;7035;1306;42;39
6;6947;241;13;13
4;9751;203;14;45
83;7154;0;49;35
13;143;247;40;40
44;15412;1309;15;6
48;2460;419;20;16
36;3581;0;48;48
8;1138;223;41;12
12;9514;251;47;35
51;14573;584;42;42
71;9353;0;37;19
63;13116;1249;26;11
80;3576;0;6;17
63;12765;0;38;16
5;577;215;47;31
41;5793;1581;21;38
47;3185;1524;30;23
54;3429;633;27;43
20;5796;1165;14;45
24;2397;267;19;26
30;14678;1463;19;11
30;8120;910;3;27
71;8444;0;7;24
10;3022;230;12;33
76;6096;0;22;22
36;13489;1355;14;29
47;6642;1686;48;48
15;15318;246;49;35
48;6410;1466;22;22
8;5367;231;2;46
41;4129;1021;20;20
61;6217;0;38;7
29;6210;1027;38;38
42;14891;983;40;49
48;495;0;18;50
44;731;627;14;4
34;8590;1082;29;29
13;8595;246;40;40
79;10000;0;40;40
40;9462;1488;26;26
41;2613;572;26;11
48;10551;585;17;17
76;11161;0;5;44
4;15552;201;23;23
28;7432;0;4;45
11;6634;225;35;35
10;9998;236;40;40
24;15080;261;39;39
38;7169;1046;42;42
18;11889;261;30;17
36;9115;0;2;23
48;15089;358;24;24
84;11797;0;23;46
1;10727;0;17;6
14;3946;251;39;42
4;6630;192;4;45
51;4439;647;20;16
47;6155;844;19;11
14;14488;250;39;39
30;354;0;33;5
34;3350;1683;43;43
49;2251;858;3;13
14;10526;249;24;21
28;13750;451;15;42
20;4734;298;1;11
23;1377;266;20;7
28;14919;999;10;10
64;10172;1516;24;21
33;9621;499;47;45
13;7885;250;38;38
7;11974;224;4;47
16;2459;252;42;42
51;6044;1659;11;19
54;12681;1549;40;40
54;1554;0;20;7
41;159;1213;33;12
21;13352;425;22;22
21;8555;274;38;38
1;10468;109;30;30
31;15757;1117;35;35
48;5765;983;4;4
26;5286;1028;18;18
3;1769;201;15;6
74;13300;0;42;39
34;13105;1672;24;38
19;2;1431;19;19
86;1526;0;40;35
5;13425;214;31;31
0;8839;82;36;49
48;1375;858;49;49
49;6970;1558;23;23
23;7890;255;49;49
36;8571;0;4;4
24;551;1233;49;35
47;5572;520;49;40
49;10231;0;17;30
29;15789;0;21;21
27;7508;447;9;26
14;11185;252;46;23
27;14106;1504;26;19
44;5514;1213;12;41
0;6366;158;15;42
48;14991;757;14;10
28;5625;1481;31;31
11;11240;245;49;40
49;15556;357;9;26
5;14097;214;31;36
56;4529;0;42;42
42;10258;750;2;28
2;7793;0;48;48
19;12087;303;22;46
23;1750;1413;40;40
38;10407;1264;14;29
34;8296;728;32;32
51;3842;1485;41;47
27;14408;1352;49;47
50;5982;1488;3;3
19;6074;285;21;24
77;10845;0;21;21
44;2420;1098;40;40
3;1557;214;35;40
20;558;802;7;8
1;3192;64;42;39
36;6526;1007;26;19
18;3406;306;20;38
10;4750;221;20;16
4;3128;216;46;22
69;7142;0;47;35
58;12628;0;34;2
47;108;313;17;17
28;5004;999;3;13
19;12844;757;10;10
80;11015;0;26;26
44;14999;1488;19;11
62;8188;0;19;26
42;8721;643;37;19
37;4440;1213;21;21
7;2681;229;49;40
10;15394;237;12;28
13;5787;254;12;33
56;11362;813;3;10
28;4460;608;5;28
25;14911;1254;10;43
74;7742;0;2;23
38;3947;1516;49;40
51;953;565;21;48
8;10430;225;49;36
57;11005;0;24;21
21;13906;280;6;6
20;14621;258;47;47
50;10782;313;6;6
53;8487;1049;38;20
3;2193;204;35;35
4;13807;196;22;36
37;618;789;13;13
15;7389;248;49;40
2;175;19;22;22
5;5302;215;41;41
20;14814;508;49;40
4;7198;202;30;6
57;12076;0;45;45
29;13575;1249;9;29
42;5847;0;27;43
78;8524;0;13;27
31;8217;1010;18;4
40;7987;1516;9;9
4;6748;207;25;48
51;5383;1410;3;13
65;3959;0;11;19
5;3622;194;49;40
36;9391;1369;21;21
7;10720;220;10;32
13;12549;249;21;21
56;5411;515;20;20
57;2358;1161;40;40
37;6465;521;14;4
11;11465;217;43;43
22;8016;983;40;49
35;9283;444;9;9
32;9323;1660;40;40
31;15167;1289;38;21
8;5057;237;30;17
14;5203;246;31;47
40;6932;524;5;39
35;12753;708;27;27
18;6482;494;4;45
9;7218;229;40;40
45;301;540;21;38
3;3600;192;47;45
29;3774;537;38;38
17;6399;250;10;10
2;8976;178;48;47
53;13429;1408;6;6
47;9488;0;18;18
26;12488;1500;40;40
0;12681;0;49;35
28;2906;1488;19;26
49;12561;995;38;20
44;11046;444;10;10
22;2285;305;32;32
40;3056;541;30;17
55;4198;1082;29;29
34;1113;0;42;39
24;6151;295;38;24
15;855;254;39;42
31;665;1466;23;23
22;14300;261;7;18
20;3356;271;43;27
46;6232;443;20;21
18;4824;266;9;29
1;3620;99;14;14
51;5063;1516;19;26
52;10269;0;28;33
20;2359;1065;12;12
64;9816;0;49;40
1;15268;0;41;48
0;10450;4;38;38
20;10618;283;43;3
41;8636;0;48;21
57;12910;0;35;35
14;468;252;3;3
22;11515;0;26;19
20;2265;0;26;9
37;13215;1581;7;24
52;861;1166;40;49
10;6184;229;14;14
17;4734;253;43;11
30;1488;1589;42;39
60;6433;0;31;31
73;15421;0;24;21
40;14693;1609;40;49
54;14821;1477;5;2
25;10939;0;18;7
14;8643;253;50;50
43;9185;608;33;28
50;700;0;36;22
21;1002;0;13;27
40;5936;0;40;49
71;4758;0;10;43
6;2600;243;17;15
47;1355;0;49;40
52;1125;0;35;35
30;2522;747;12;12
48;9852;0;32;13
43;7875;0;36;36
54;12675;536;15;39
51;4206;1067;6;6
48;11407;0;46;46
37;15651;0;4;4
34;7065;1679;30;30
21;3683;260;45;4
3;10456;0;18;7
69;5819;0;47;24
6;13985;239;31;47
42;1895;977;26;26
41;4440;1213;21;38
17;11711;247;43;43
17;14966;248;11;11
32;7839;838;35;49
4;11155;216;48;12
17;136;252;14;14
13;10425;252;33;33
44;811;1405;40;49
6;10430;225;36;36
8;5246;232;17;6
32;13990;1167;35;49
50;10528;615;43;27
52;4772;520;8;16
39;10752;838;25;21
20;12370;258;26;26
32;13094;1485;41;47
39;9686;711;6;42
47;13605;466;18;18
51;7316;1018;31;31
19;2192;305;42;15
58;3486;1516;50;45
0;1306;0;36;36
72;13641;0;13;35
16;11495;250;49;49
40;6223;447;43;26
11;7161;236;41;31
20;1897;279;4;47
60;9383;0;7;38
0;5816;108;7;18
24;7722;302;22;36
39;7781;1405;40;35
48;43;1488;50;18
77;11506;0;26;29
28;14459;1488;13;32
30;2686;693;12;12
14;9415;246;44;44
61;346;0;26;11
38;547;863;45;4
53;2909;1262;29;9
36;1930;524;41;41
46;12655;1357;46;23
29;8299;0;35;35
23;4479;1245;25;25
28;3970;515;20;38
47;9775;447;3;43
51;10694;598;45;4
50;1510;0;2;46
18;7398;306;7;16
57;7578;0;21;47
24;3479;363;7;38
32;6866;1565;40;40
26;999;732;39;6
49;3669;444;3;3
75;15398;0;4;4
20;3818;289;24;21
38;10095;1640;14;4
41;4721;989;19;26
44;3415;334;10;3
51;4983;420;6;17
42;14430;1382;6;17
7;10823;220;45;14
32;9659;1319;32;13
44;4219;0;35;47
8;6678;231;31;31
50;11166;1355;14;14
39;11385;1535;4;4
0;3090;0;39;30
19;8677;260;6;17
45;12083;873;45;45
25;12217;0;42;30
28;11042;362;5;33
57;14187;0;41;12
50;9364;789;35;49
63;15241;0;42;39
47;14991;1041;14;29
46;15836;575;35;4
6;2630;222;4;47
59;12765;0;20;20
49;9531;0;46;46
27;5973;446;40;49
39;89;1161;35;35
20;7626;0;30;30
54;5245;1562;49;40
23;11898;0;43;43
44;12683;1683;9;9
52;1819;444;4;45
5;436;196;2;28
45;4256;0;42;6
16;8190;246;4;47
36;13304;582;41;28
4;4238;196;7;38
24;10064;1292;14;45
40;9154;1019;20;20
41;14;760;13;13
14;3431;249;38;38
23;7059;658;38;38
5;2650;0;49;35
9;7391;233;11;19
39;11824;0;45;45
61;12173;0;5;5
33;6161;323;22;30
34;5812;0;15;15
57;12099;0;24;38
39;5464;1516;9;26
13;11776;248;13;32
53;4459;1129;38;20
41;10952;1252;50;50
52;2838;739;6;6
55;6377;0;5;5
59;2040;0;2;34
44;9719;968;10;10
11;3590;242;12;12
43;4831;1369;38;38
59;9170;764;30;5
25;312;357;26;9
54;5608;466;12;25
11;10975;233;11;26
23;616;287;33;33
37;9888;1549;45;4
73;9532;0;16;8
71;5346;0;42;39
50;1059;1044;40;35
16;676;250;38;16
6;10040;236;21;24
64;3202;0;22;31
19;5848;796;14;14
18;3152;0;25;48
49;3677;1095;31;36
45;12987;0;27;27
36;1726;520;21;21
52;14600;1413;35;35
3;2948;196;49;32
87;8933;0;10;29
3;4521;192;4;18
11;274;229;46;34
15;8847;254;9;9
41;13105;477;21;38
17;2924;248;49;32
45;3740;1187;35;35
4;7350;194;40;40
15;5527;252;47;47
0;11964;0;3;10
30;11387;0;42;42
5;4039;212;43;43
31;14324;1504;19;26
8;138;238;40;40
60;1963;1659;19;19
66;12133;0;42;39
6;3329;223;35;40
20;6395;303;17;30
36;6826;1614;40;49
31;78;0;47;31
87;5130;0;34;46
12;3866;251;46;23
46;5088;0;32;32
52;7475;1506;9;26
21;14150;298;49;40
35;13168;1053;6;42
40;8891;1413;40;40
0;1072;185;20;18
31;103;834;17;17
21;11072;295;14;4
9;4748;233;37;11
20;6338;308;35;35
28;15669;712;30;46
3;12047;192;21;38
1;6748;0;48;38
11;12244;241;13;13
14;274;251;46;34
45;6808;1223;47;4
67;3084;0;18;18
43;5269;1441;4;47
77;5317;0;47;35
55;16;1482;40;49
45;12329;781;41;41
10;3400;218;9;26
36;2214;1461;41;41
83;15909;0;26;9
10;2694;229;4;47
67;8930;0;15;17
8;4392;225;40;49
23;799;269;43;27
49;12056;0;21;25
43;10619;0;42;42
71;2980;0;38;21
71;5448;0;18;7
39;15658;1346;9;26
40;79;1609;17;17
46;383;873;14;45
33;15112;664;48;12
74;3905;0;24;21
48;5436;567;42;42
42;6685;569;9;9
46;14303;417;18;24
6;1650;230;6;17
15;11877;253;46;44
57;11551;0;6;15
32;139;313;17;17
5;6527;196;32;32
39;2258;834;35;40
69;1421;0;2;34
39;11995;417;18;18
15;11381;250;48;12
17;5237;251;39;42
63;1749;0;18;7
33;10402;1161;21;21
56;2159;520;13;13
50;9671;755;32;35
36;9360;995;7;7
41;15239;878;23;23
44;373;0;32;10
52;5340;1366;23;46
10;1777;245;9;9
34;3451;0;17;17
53;4757;1488;49;40
0;436;0;5;2
53;5926;704;20;8
31;12718;1581;7;7
63;7898;1659;19;11
14;4090;254;4;45
14;11035;248;21;20
67;10080;0;24;21
38;4344;1224;6;42
22;15914;0;2;2
73;13062;0;50;18
12;10716;254;4;4
32;13307;1405;49;40
52;10244;1622;4;47
36;10670;1578;43;43
1;15445;0;24;21
33;5811;757;14;10
17;6718;251;28;33
48;393;1073;42;42
16;14351;252;33;5
22;10958;1482;9;9
12;4418;252;36;36
14;9719;248;3;3
22;6859;0;23;46
16;13379;252;45;14
16;13855;248;3;3
55;2399;727;16;21
63;13679;0;24;24
19;11758;295;38;21
50;13477;582;36;49
73;13297;0;16;7
53;3723;581;30;17
45;15387;693;12;12
82;9149;0;24;21
22;9233;773;27;43
34;9868;1504;26;26
13;15546;252;46;46
63;6851;1223;21;38
28;4597;1488;26;11
67;4467;0;33;33
50;9781;1452;43;11
42;15046;0;5;39
48;6880;0;42;39
32;9461;1592;40;40
19;3078;285;38;25
37;1851;890;45;4
20;15672;0;21;21
42;6128;1213;36;31
60;13134;0;44;23
13;15486;252;7;18
20;2158;0;46;23
34;11286;1134;39;39
56;11675;0;37;11
0;424;0;49;36
10;4375;218;29;29
23;13192;764;46;44
32;12506;1680;49;40
53;10716;838;47;4
18;6539;1438;49;35
18;5986;258;10;10
50;9364;969;32;32
0;595;64;6;39
54;14412;1543;2;34
46;8456;0;42;39
47;5708;1113;6;42
10;14480;218;10;29
33;2256;981;26;26
47;12031;1671;25;12
41;3820;1113;44;2
32;5933;1041;20;20
48;9348;0;45;47
9;7626;232;6;17
21;10514;258;20;20
49;5808;1466;34;22
34;972;573;29;9
65;14088;0;42;5
6;12383;240;6;42
72;5861;0;21;21
32;1330;983;49;40
5;11831;201;34;23
47;11136;341;42;42
44;12787;1193;23;34
56;95;0;30;6
43;3722;1430;32;32
4;13556;206;35;49
32;15399;1371;18;7
39;7727;0;40;40
7;11663;229;49;40
7;9083;231;23;46
52;13079;1223;14;14
30;13110;0;44;44
14;4495;254;49;40
66;12833;0;24;7
25;1978;400;17;17
11;6058;231;46;34
9;2298;231;5;5
36;5066;1357;49;40
40;15869;1369;25;21
41;14237;0;42;6
62;816;1366;30;46
58;13541;1066;22;23
53;13583;673;8;8
6;4328;232;42;5
4;1782;214;47;47
25;2217;1543;34;23
33;6661;1135;10;4
36;15858;1057;21;24
55;13649;1578;11;11
26;4356;1466;46;46
40;10860;736;49;49
6;5332;219;30;6
67;3288;0;42;6
27;11672;466;21;21
10;11648;229;49;40
19;7720;304;4;45
6;5600;219;6;6
38;4373;582;41;41
6;7159;225;21;21
34;1635;618;18;50
16;6929;253;26;37
36;11237;0;47;31
1;11560;79;31;36
3;9346;209;21;21
17;5190;251;42;6
17;6334;247;35;40
42;8591;407;41;47
9;8519;229;20;20
30;12427;0;3;13
16;10736;247;32;32
37;13674;983;35;35
39;9243;912;33;28
55;6807;0;6;17
8;7168;242;21;21
16;67;250;13;13
59;9481;0;3;10
33;1736;0;49;49
27;1749;1622;18;7
2;3222;5;4;35
71;6975;0;21;21
34;12439;1394;17;6
12;10102;246;49;35
10;7884;240;42;42
9;2333;225;49;35
50;5294;912;31;31
7;10232;219;6;17
49;10799;1278;40;40
9;6985;235;32;32
32;8340;475;15;39
39;9518;1516;7;18
61;4630;1357;35;40
29;1920;1610;15;15
44;11601;1331;32;10
45;14127;1357;35;49
43;10303;1279;16;7
20;44;301;41;41
42;9005;1355;45;14
11;1479;231;23;44
43;1016;1399;41;25
43;3690;0;46;46
13;10544;252;49;49
64;10029;0;21;21
51;13731;749;39;42
21;2547;0;15;15
48;14363;474;24;21
49;8821;1632;23;17
30;15458;1213;5;5
0;3769;0;39;39
12;10531;252;27;27
55;626;0;35;49
17;2817;247;49;40
9;12649;219;33;33
3;2774;216;46;30
1;8219;0;11;26
68;14533;0;31;31
53;12308;0;42;42
67;12492;0;23;23
40;8844;831;17;17
54;3547;1351;43;43
35;5376;0;49;35
56;4217;0;17;6
25;8355;0;45;32
25;8046;1398;20;21
45;1424;1041;38;24
28;6082;1213;25;48
23;9767;736;40;40
8;14897;229;45;14
7;9924;220;29;10
83;14131;0;29;14
4;10050;209;20;20
46;14967;1561;38;21
11;12074;218;9;9
56;7488;0;29;9
61;3001;0;21;48
53;12163;0;46;46
59;8266;451;5;39
54;2086;705;38;16
33;12196;1466;46;34
48;9329;0;39;39
20;15274;283;26;26
22;13320;287;24;38
75;5875;0;17;30
11;1253;226;35;35
19;6116;298;25;12
67;160;0;17;6
30;6877;1543;30;22
45;8268;579;30;6
7;9323;226;35;40
57;11640;0;21;24
1;5924;75;43;3
33;4488;1463;11;19
4;15301;195;16;38
44;4215;0;14;29
17;14833;252;43;19
4;6424;200;40;35
33;7269;416;6;6
3;9227;204;29;14
24;10523;269;16;8
46;3549;706;47;47
46;1038;863;21;38
12;4770;252;37;37
19;4412;0;40;49
39;14520;1330;37;26
35;3245;1369;38;38
19;6915;255;49;40
63;1241;0;6;17
23;14122;274;49;49
49;14412;1297;46;34
39;992;1028;19;26
15;673;247;31;31
50;5617;318;42;42
59;7680;0;46;46
21;7097;300;23;2
23;512;1428;48;48
38;1474;1297;17;6
87;416;0;14;14
33;8223;625;32;32
10;6354;236;41;47
18;982;0;42;6
63;608;0;32;32
0;928;109;20;20
37;11802;443;21;38
20;14756;303;36;36
16;5230;254;29;9
19;4082;0;26;29
51;13302;0;38;21
41;10938;451;6;6
12;315;246;21;24
47;4824;326;9;29
17;13592;252;2;46
41;7264;1039;26;26
20;14615;1575;39;6
30;2363;1365;6;6
21;6597;289;24;21
67;7665;0;16;38
31;3175;448;13;13
36;10950;0;49;49
66;12649;0;12;33
53;3934;899;29;14
17;952;246;35;35
56;8327;0;13;13
42;2456;1482;48;21
3;9567;193;9;14
11;14506;220;10;10
14;8425;254;27;3
72;7051;0;2;2
11;2843;222;33;5
18;13041;305;15;15
3;14579;211;26;26
58;13176;515;24;21
4;826;200;49;40
1;2637;0;38;38
31;9511;1179;32;32
20;6570;291;36;49
14;5204;248;5;5
39;15052;1129;38;20
30;6527;1033;10;32
73;4535;0;12;12
13;3681;252;21;24
44;1397;0;3;10
6;2603;217;14;4
29;9635;1270;12;33
64;9582;0;46;46
23;15774;0;23;23
54;14500;1388;39;42
30;11570;717;47;25
29;7289;974;41;31
4;6029;192;38;38
38;11603;998;43;43
72;13389;0;20;21
49;3358;1028;45;45
35;15190;425;36;40
15;6716;246;21;38
29;9164;1135;3;3
6;6945;218;9;9
34;3191;1581;7;18
28;1311;515;38;24
5;677;208;6;15
3;7451;204;3;43
47;2052;1563;32;32
33;13919;0;49;49
30;928;666;16;20
50;8860;1084;17;6
37;4838;1403;38;7
20;8608;620;3;43
4;5538;205;40;40
9;2194;221;21;20
77;14002;0;42;39
21;9521;268;46;2
36;5489;1082;50;45
87;13703;0;42;39
5;2348;214;17;6
9;4979;218;26;26
30;3725;0;10;29
56;4378;996;28;2
17;2554;248;19;11
11;7837;245;16;7
58;13701;0;7;20
29;11482;1488;35;40
88;4761;0;49;47
26;15725;736;40;40
21;4828;304;4;47
83;10963;0;42;42
64;12071;410;24;24
34;6581;1516;40;40
73;9325;0;39;39
20;7132;306;38;24
13;13125;249;18;24
33;2540;1672;38;16
44;822;1543;2;23
15;5916;250;45;4
68;3251;0;14;45
37;4355;1603;24;21
42;7354;313;44;2
54;6535;1106;46;46
59;11389;670;21;21
9;12157;224;9;9
39;1346;1014;40;40
19;13390;264;38;21
13;2732;252;42;42
30;14331;1619;12;25
8;2507;236;45;14
47;1284;1113;17;30
61;3786;1231;20;7
40;3367;757;10;10
64;7564;0;40;49
2;7374;69;6;17
59;11546;1630;25;48
38;13842;996;18;7
62;14375;1222;7;38
76;12103;0;33;33
10;7582;223;4;4
1;5806;10;24;21
16;15494;249;24;24
41;2937;1517;50;18
59;8094;1366;31;22
26;5772;1369;24;21
66;11391;0;35;32
38;13228;0;21;21
11;10408;222;20;7
5;11734;200;40;49
18;11701;0;17;42
59;6810;0;10;4
21;1330;264;49;35
60;10986;0;49;35
59;10925;0;19;19
19;15866;0;39;42
55;6858;784;5;39
17;14708;252;19;37
43;8390;0;14;45
10;529;220;4;4
48;1747;1077;38;38
4;15214;207;21;25
17;6706;254;13;27
22;14817;1597;15;6
71;7612;0;9;9
40;2203;1357;49;35
68;375;0;19;37
49;2379;1504;19;26
8;2258;226;40;49
7;3872;220;7;38
5;4921;215;6;30
33;8491;1324;18;18
10;4985;234;6;6
8;3181;242;7;7
74;3685;0;27;43
45;12527;1041;42;42
3;7855;203;14;45
18;9916;298;40;49
16;3165;246;22;17
17;9317;254;7;38
8;3350;0;3;43
40;9527;854;21;24
73;12842;0;24;38
22;1247;1459;38;24
56;10867;0;35;35
65;11181;0;26;9
9;14468;224;27;43
14;5530;251;46;2
52;13185;1220;24;18
39;13514;451;42;42
38;8519;0;20;20
21;8830;298;32;49
34;6416;0;21;24
22;7225;0;6;42
78;760;0;32;13
28;6602;1466;2;34
42;8187;1343;32;32
24;10429;0;24;21
43;13457;1161;40;35
19;7809;305;17;17
15;11180;252;20;16
50;14856;585;17;6
20;4995;279;3;3
55;5614;656;17;17
44;76;0;36;40
10;9522;236;21;24
47;11715;858;35;35
22;120;0;34;34
3;4422;198;19;37
24;12487;292;8;20
42;7372;1371;31;36
45;5087;745;41;41
36;1135;0;2;2
49;367;451;31;36
9;8321;217;49;49
16;1977;248;40;40
43;13039;454;20;20
44;3746;697;5;44
70;2801;0;6;42
3;6765;215;44;31
37;2946;1609;42;5
36;7624;1504;29;29
45;13630;1051;32;13
9;6777;224;26;43
13;12648;249;24;21
21;13850;306;24;24
59;7984;0;27;43
35;480;1622;38;24
36;10407;1062;10;29
5;12660;196;35;35
61;9806;717;3;27
23;1150;0;14;14
47;15810;0;43;43
9;9080;228;37;37
38;7968;879;17;6
46;10277;1403;4;4
36;10670;1615;19;43
51;15914;539;44;46
78;12569;0;19;26
64;1272;1365;28;44
55;5517;0;9;26
34;1602;1292;14;45
44;12861;1413;49;49
17;12557;252;48;47
64;1997;1581;47;47
16;11254;247;30;34
4;2532;0;7;7
65;1877;0;40;40
43;14295;746;26;11
54;8437;1199;3;32
57;2890;0;18;18
1;236;0;28;28
0;9998;0;40;40
43;11864;1041;9;26
40;7712;313;17;17
14;539;254;32;49
40;14465;515;18;7
18;1248;294;26;19
91;11579;0;37;1
11;9552;245;4;14
11;13960;236;16;16
19;3819;518;24;47
21;1482;1369;21;21
41;12565;677;43;27
24;1339;0;35;47
11;14612;219;6;6
4;2892;194;3;10
55;8897;1213;21;21
47;5996;451;6;6
21;11490;301;36;49
32;14314;320;37;37
46;6684;444;3;10
3;12840;200;40;40
45;15008;0;25;41
50;4799;0;33;28
59;14059;0;2;34
47;347;1401;49;35
9;5940;235;10;32
9;4874;220;4;14
41;5610;420;6;15
36;2072;871;23;23
18;952;279;47;49
26;1106;1369;47;35
1;11955;14;17;17
54;7596;0;41;25
34;3111;1113;42;42
45;12651;366;23;2
35;13956;996;18;18
89;7795;0;36;31
11;12519;238;3;43
2;10998;14;6;17
63;3935;1463;26;19
58;1959;0;21;25
36;2462;447;26;11
22;14680;277;43;43
53;14073;1593;39;42
54;1133;359;3;27
8;1563;240;39;42
7;2287;242;35;35
57;6927;0;35;32
58;7006;1500;36;22
44;15629;717;3;3
51;7897;1516;14;14
40;7451;677;3;43
45;15881;0;36;31
21;3653;1443;43;3
16;12668;251;6;6
1;8912;0;19;19
46;12323;595;36;36
20;677;260;15;17
55;4143;0;38;21
3;5289;212;17;17
40;2572;0;38;16
50;15700;0;6;17
54;9074;1319;10;13
3;1744;216;28;33
57;814;0;38;21
49;8470;444;27;27
27;1041;380;15;6
45;10074;1615;37;1
32;4600;1223;45;14
0;11064;80;22;34
15;9934;254;26;9
2;3194;0;31;31
46;15680;789;4;18
10;13962;229;18;21
24;3538;0;21;21
53;2309;0;47;31
52;5967;1357;40;40
13;7741;252;15;17
46;14829;727;41;41
70;7974;0;12;41
48;2045;1306;39;15
57;4545;0;33;33
1;10452;0;6;6
50;11733;582;47;31
55;12359;789;40;49
46;11356;1413;35;47
20;6593;284;36;47
8;1064;229;18;24
58;13226;0;14;14
9;5026;229;17;22
20;601;295;19;9
66;7956;0;49;35
44;9958;633;37;37
46;12094;0;18;7
13;10750;254;29;29
31;12450;1581;24;21
33;6122;674;3;43
35;3218;0;40;40
62;15298;0;4;4
52;14638;417;21;24
62;12766;0;37;11
17;5241;247;23;23
41;9980;1413;40;49
20;10260;1488;24;24
7;5224;232;42;6
56;10323;0;49;49
51;15334;1098;13;13
37;7226;999;3;3
44;1934;0;47;47
35;2265;0;29;9
89;5495;0;26;26
35;3492;1134;33;33
42;7514;916;13;40
50;3142;1441;4;47
23;2641;466;4;4
36;1366;1355;29;14
11;4257;220;35;47
34;3473;524;17;30
48;9620;1510;10;10
31;9808;1203;23;23
18;3679;277;40;40
44;13652;693;12;25
19;9180;280;41;41
38;327;854;24;21
51;891;0;6;39
5;4231;206;49;40
49;1683;1556;9;14
47;4039;1031;43;43
6;2201;231;34;2
61;7468;0;22;23
29;4224;1500;31;36
54;12714;378;24;18
49;12607;1455;2;23
10;14334;241;21;21
10;10692;243;30;30
18;11325;306;20;21
14;5334;246;46;23
10;3872;241;38;7
44;822;834;2;44
76;6174;0;46;46
35;12483;698;10;3
16;325;251;33;12
54;6621;771;14;14
30;6653;1482;50;14
